user_id,business_id,stars
q-v8elVPvKz0KvK69QSj1Q,fgskuH5aQq0ROHm9zst_0g,4
Fta-vmTJYKGeVyyhm9D6Vw,yNPh5SO-7wr8HPpVCDPbXQ,5
dIIKEfOgo0KqUfGQvGikPg,tDYcVluqZwieulc1iqxGXg,4
dIIKEfOgo0KqUfGQvGikPg,5nZVVPO_cYH9aQeClTP9zA,3
dIIKEfOgo0KqUfGQvGikPg,zJGtD3y-pAIGNId4codEEg,4
dIIKEfOgo0KqUfGQvGikPg,TShoU62Hm-4wH2EzwkJbrg,4
dIIKEfOgo0KqUfGQvGikPg,QeGkAHAKUT-TkyPUsl2PIg,5
JnPIjvC0cmooNDfsa9BmXg,nY2oBwH3s5sKox1mERIoVQ,5
JnPIjvC0cmooNDfsa9BmXg,ez68a9bacyFKNy6MG6_kRg,1
JnPIjvC0cmooNDfsa9BmXg,Cy9LmQrY9rWwaNTSqxQn6A,4
o-GAkbTTcHFY3KqVDCE8sA,BGGQOJQTQerEQu0kHbT_UQ,4
mAhty2OHDTtLm00quB5Xjw,XnJeadLrlj9AZB8qSdIR2Q,3
mAhty2OHDTtLm00quB5Xjw,_ZfjpSEO5ntk-1hbnwCR4g,5
4mjnkd8oJVCfBKN3i4rB-g,NEVA0IYbawceL6kz5v5DAw,3
sR3vq6nTP9s_hqBTPDfnmg,nnDLapJk1z2NJE0-XzwMlQ,5
H0Dq_zK4Ceepkd1KdDK7BQ,p0iEUamJVp_QpaheE-Nz_g,3
HLaSqQMDVvlcFPGJL_kGCA,VMPSdoBgJuyS9t_x_caTig,5
HLaSqQMDVvlcFPGJL_kGCA,8R2Gm4lsS90JG9jIYHlfeg,1
HLaSqQMDVvlcFPGJL_kGCA,VHK1AIFDveAdaBbmk94ahg,2
HLaSqQMDVvlcFPGJL_kGCA,ues2rFe_hbRC7s232PX5QA,2
